City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Naftalan,AZ,57.2,broken clouds,40.5067,46.825,Gashalti Health Hotel - Naftalan
350,Totma,RU,35.19,scattered clouds,59.9747,42.7642,Varnitsy
354,Umtata,ZA,63.34,overcast clouds,-31.5889,28.7844,LLZZ Boutique Lodge
356,Bowling Green,US,69.8,few clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
357,Cody,US,62.6,clear sky,44.5263,-109.0565,Buffalo Bill (Cabins) Village
358,Halifax,CA,42.8,overcast clouds,44.6453,-63.5724,Hotel Halifax
359,Malaya Purga,RU,39.0,moderate rain,56.5567,53.0043,Mini Hotel Vostok
361,Tuatapere,NZ,62.01,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
363,Mitchell,US,60.8,clear sky,43.7094,-98.0298,Kelly Inn & Suites
364,Kaitangata,NZ,64.99,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
369,Kruisfontein,ZA,58.62,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
370,Lebu,CL,53.19,clear sky,-37.6167,-73.65,Hostal Las Lilas
372,Pacific Grove,US,60.01,clear sky,36.6177,-121.9166,Lovers Point Inn
374,Sitka,US,33.8,light snow,57.0531,-135.33,Westmark Sitka
378,Surskoye,RU,34.61,overcast clouds,54.4821,46.7214,Sura
379,Hearst,CA,55.4,broken clouds,49.6835,-83.6665,Companion
381,Yangshe,CN,59.0,light rain,31.8899,120.6052,Jindongmen Hotel
384,Gat,IL,55.99,scattered clouds,31.61,34.7642,OlusHome
386,Dongning,CN,46.42,scattered clouds,44.0622,131.1207,Huayu Hotel
387,The Pas,CA,41.0,broken clouds,53.8251,-101.2541,Wescana Inn
392,Dubbo,AU,55.4,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
393,Abha,SA,64.4,few clouds,18.2164,42.5053,Abha Hotel
395,San Quintin,MX,65.43,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
400,Necochea,AR,57.0,light rain,-38.5473,-58.7368,dyd -mar Hotel
405,Vaasa,FI,30.99,clear sky,63.096000000000004,21.6158,Hotel Astor
411,Kurilsk,RU,33.76,clear sky,45.2333,147.8833,City of Kurilsk
415,Campbell River,CA,48.99,scattered clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
418,Gimli,CA,41.0,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
420,Norman,US,66.99,clear sky,35.2226,-97.4395,Montford Inn
421,Cap-Aux-Meules,CA,32.0,scattered clouds,47.3821,-61.8597,Auberge Madeli
423,Terrace,CA,37.4,broken clouds,54.5163,-128.6035,Northern Motor Inn
